Thumb,Index,Middle,Ring,Pinky,Letter,
3743,3620,3863,2254,3634,3,
4095,3639,3815,2115,3632,3,
3799,3632,3774,2121,3574,3,
3747,3593,3798,2099,3614,3,
3792,3583,3776,2071,3630,3,
3824,3633,3751,2039,3571,3,
3825,3614,3821,2160,3636,3,
3792,3617,3787,2105,3615,3,
3791,3646,3804,2126,3631,3,
3762,3616,3850,2083,3603,3,
3794,3627,4095,2127,4095,3,
3861,3600,3858,2165,3622,3,
3728,3611,3918,2160,3613,3,
3760,3519,3843,2192,3349,3,
3800,3646,3894,2202,3653,3,
3824,3781,3922,2194,3659,3,
3803,3636,3903,2206,3632,3,
3788,3652,3863,2217,3882,3,
4034,3664,3879,2195,3618,3,
3700,3639,3897,2217,3708,3,
3791,3619,3920,2202,3626,3,
3809,3634,3827,2215,3695,3,
3776,3673,3667,2214,3614,3,
3760,3611,3889,2246,3629,3,
3766,3615,3927,2243,3632,3,
3782,3630,3868,2249,3610,3,
3831,3779,3887,2225,3646,3,
3817,3638,3917,2252,3645,3,
3758,3630,3938,2248,3817,3,
3650,3595,3851,2259,3623,3,
3793,3613,3845,2235,3621,3,
3769,3576,3896,2245,3306,3,
3788,3602,3787,2173,3568,3,
3836,3598,3896,2270,3520,3,
3815,3616,3910,2294,3631,3,
3818,3617,3900,2259,3623,3,
3794,3637,3912,2283,3600,3,
3831,3630,3920,2255,3649,3,
3822,3599,3913,2258,3601,3,
3814,3503,3914,2242,3632,3,
3810,3566,4031,2263,3684,3,
3803,3598,3895,2253,3583,3,
3785,3600,3888,2269,3558,3,
3805,3569,3900,2252,3626,3,
3635,3568,3897,2279,3627,3,
3871,3511,3865,2192,3610,3,
3763,3631,3888,2317,3631,3,
3781,3581,3780,2032,3629,3,
3744,3683,3791,2046,2415,4,C
3789,3744,3770,2083,2416,4,
3824,3698,3733,2126,2480,4,
3749,3757,3771,2071,2432,4,
3760,3712,3776,2094,2480,4,
3775,3724,3850,2102,2474,4,
3790,3663,3948,2117,2576,4,
3737,3698,3907,2125,2686,4,
3739,3719,3921,2107,2733,4,
3834,3779,3963,2185,2739,4,
3503,3487,3822,1876,2645,4,
3729,3614,3875,1981,2575,4,
3720,3492,3864,1947,2670,4,
3731,3723,3911,2069,2866,4,
3714,3669,4080,2274,3061,4,
3705,3663,3985,2227,3019,4,
3473,3423,3696,1914,2960,4,
3697,3659,3693,2060,2234,4,
3865,3573,3840,2066,2470,4,
3687,3654,3856,2138,2928,4,
3751,3731,3810,1990,2406,4,
3785,3669,3799,2129,2349,4,
3811,3725,3923,2259,2478,4,
3789,3726,3963,2294,2523,4,
3808,3718,3927,2306,2532,4,
3778,3725,3882,2261,2521,4,
3787,3708,3891,2321,2507,4,
3789,3697,3909,2272,2298,4,
3773,3712,3859,2342,2653,4,
3699,3694,3744,2352,2749,4,
3766,3771,3991,1840,2163,4,
4095,3654,3952,1993,2224,4,
3761,3655,3967,1968,2197,4,
3767,3639,3841,1984,2227,4,
3772,3503,3729,1993,2256,4,
3787,3493,3765,1998,2255,4,
3793,3522,3829,2000,2232,4,
3795,3536,3809,2001,2256,4,
3786,3539,3838,1739,2233,4,
3751,3511,3812,2040,2201,4,
3798,3536,3792,2014,2227,4,
3776,3604,3856,2095,2703,4,
3809,3713,3975,2001,2978,4,
3849,3702,3954,2462,3214,4,
3791,3691,3935,2332,2978,4,
3803,3713,3935,2272,2672,4,
3824,3723,3942,2135,2460,4,
3678,3645,3927,2160,2547,4,
3805,3818,3937,2156,2576,4,
3801,3712,3943,2200,2610,4,
3807,3713,3879,2217,2544,4,
3785,3715,3911,2220,2435,4,
3777,3713,3873,2215,2512,4,
3797,3692,3827,2219,2459,4,
3792,3738,3842,2235,2486,4,
3769,3712,2273,3193,3659,5,d
4095,3615,2298,3126,3653,5,
3766,3665,2326,3119,3647,5,
3570,3599,2389,3089,3609,5,
3745,3706,2384,3230,3634,5,
3786,3643,2432,3181,3617,5,
3754,3712,2265,3194,3635,5,
3751,3607,2288,3117,3600,5,
3792,3673,2243,3146,3544,5,
3977,3691,2235,3188,3750,5,
3713,3538,2288,3173,3634,5,
3650,3531,2288,3211,3613,5,
3760,3497,2288,3303,3575,5,
3793,3595,2353,3329,3634,5,
3792,3556,2384,3271,3650,5,
3793,3567,2416,3260,3627,5,
3856,3581,2423,3281,3650,5,
3779,3562,2224,3136,3571,5,
3746,3569,2374,3126,3653,5,
3754,3571,2383,3108,3652,5,
3925,3631,2579,3125,3866,5,
3750,3546,2373,3109,3606,5,
3732,3629,2359,3120,3550,5,
3737,3539,2359,2987,3635,5,
3758,3675,2376,3171,3568,5,
3731,3687,2269,3287,3557,5,
3778,3693,2581,3271,3620,5,
3733,3504,2515,3227,3559,5,
3783,3731,2578,3268,3627,5,
3759,3728,2624,3225,3600,5,
3888,3733,2496,3188,3631,5,
3736,3672,2527,3190,3543,5,
3782,3717,2365,3397,3487,5,
3766,3742,2544,3184,3543,5,
3681,3653,2326,3056,3472,5,
3728,3621,2496,3083,3561,5,
3783,3693,2845,3248,3636,5,
3773,3632,2825,3235,3634,5,
3723,3642,2817,3280,3632,5,
3843,3686,2797,3200,3671,5,
3789,4095,2800,3182,3633,5,
3647,3503,2753,3165,3581,5,
3741,3727,2905,3195,3635,5,
3732,3650,2672,3198,3622,5,
3558,3451,2384,3101,3601,5,
3766,3632,2432,3119,3623,5,
3763,3628,2624,3123,3614,5,
3632,3507,2551,3046,3602,5,
3839,3483,2298,3123,3621,5,
3793,3486,2325,3123,3645,5,
3791,3635,2415,3207,3598,5,
3793,3507,2234,3093,3600,5,
3799,3455,2255,3066,3603,5,
3907,3534,2268,3042,3611,5,
3717,3522,2265,3207,3654,5,
3775,3593,2267,3119,3639,5,
3822,3504,2315,3056,3621,5,
3840,3510,2338,3095,3613,5,
3826,3518,2397,3222,3648,5,
3809,3521,2358,3141,3632,5,
3802,3547,2387,3215,3568,5,
3705,3597,3312,3379,3631,5,
3947,3650,3049,3405,3615,5,
3719,3568,2915,3408,3597,5,
3767,3571,2471,3291,3629,5,
3776,3574,2446,3287,3616,5,
3748,3595,2479,3248,3607,5,
3737,3611,2505,3259,3602,5,
3699,3747,2554,3268,4095,5,
3662,3662,2626,3277,3567,5,
3743,3734,2704,3273,3610,5,
3797,3668,2524,3216,3536,5,
3824,3642,2479,3333,3582,5,
3777,3722,2547,3451,3549,5,
3775,3712,2672,3442,3606,5,
3794,3561,2382,3328,3191,6,e
3468,3385,2329,3280,3170,6,
3744,3568,2405,3557,3199,6,
3741,3504,2417,3312,3212,6,
3745,3481,2421,3325,3203,6,
3569,3501,2421,3312,3205,6,
3669,3489,2418,3335,3197,6,
3807,3490,2454,3374,3157,6,
3743,3439,2370,3312,2773,6,
3726,3658,2397,3258,2768,6,
3729,3615,2289,3052,2464,6,
3813,3175,2329,3179,2498,6,
3735,3621,2771,3376,3102,6,
3709,3491,2614,3391,2925,6,
3697,3525,2353,3408,2999,6,
3675,3650,2459,3371,3095,6,
3698,3648,2493,3409,3145,6,
3728,3567,2491,3394,3115,6,
3689,3557,2502,3381,3134,6,
3701,3537,2528,3358,3102,6,
3734,3611,2519,3466,3138,6,
3759,3568,2476,3437,3120,6,
3819,3607,2506,3442,3119,6,
3761,3600,2507,3399,3091,6,
3760,3542,2498,3391,3124,6,
3729,3525,2460,3378,3107,6,
3721,3524,2401,3247,3082,6,
3781,3554,2520,3387,3141,6,
3760,3552,2505,3316,3136,6,
3739,3568,2596,3359,3098,6,
3723,3647,3163,3254,3385,6,
3666,3647,3139,3271,3447,6,
3727,3632,2958,3293,3408,6,
3805,3736,2899,3411,3310,6,
4028,3766,3023,3471,3090,6,
3729,3664,2962,3513,3305,6,
